Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UC-11,Chrome 65.0.3325.181,,2561-03-28 01:34:43,2561-03-28 01:36:55,2m - 12.366s,FAILED
,,,,,,
Test Cases/UC11/UC11-AlternativeFlow-NotInputDOB,Chrome 65.0.3325.181,,2561-03-28 01:34:44,2561-03-28 01:35:36,51.426s,FAILED
openBrowser,Chrome 65.0.3325.181,,2561-03-28 01:34:45,2561-03-28 01:34:58,13.061s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-28 01:34:58,2561-03-28 01:35:05,6.251s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-28 01:35:05,2561-03-28 01:35:36,31.206s,FAILED
,,,,,,
Test Cases/UC11/UC11-AlternativeFlow-Notmeet_minimum_length,Chrome 65.0.3325.181,,2561-03-28 01:35:36,2561-03-28 01:36:15,39.359s,FAILED
openBrowser,Chrome 65.0.3325.181,,2561-03-28 01:35:36,2561-03-28 01:35:42,5.880s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-28 01:35:42,2561-03-28 01:35:44,2.274s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-28 01:35:44,2561-03-28 01:36:15,30.907s,FAILED
,,,,,,
Test Cases/UC11/UC11-NormalFlow,Chrome 65.0.3325.181,,2561-03-28 01:36:15,2561-03-28 01:36:54,38.985s,FAILED
openBrowser,Chrome 65.0.3325.181,,2561-03-28 01:36:15,2561-03-28 01:36:21,5.465s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-28 01:36:21,2561-03-28 01:36:23,2.377s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-28 01:36:23,2561-03-28 01:36:54,30.905s,FAILED
